# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       8.78
2                       8.77
4                       8.76
8                       8.76
16                      8.78
32                      8.70
64                      8.80
128                     9.84
256                    11.18
512                    11.41
1024                   11.68
2048                   12.14
4096                   12.78
8192                   19.22
16384                  25.14
32768                  26.07
65536                  38.90
131072                 71.24
262144                109.92
524288                201.66
1048576               406.14
